708.4036;[12, 17, 19, 21, 48];708.4036;[12, 17, 19, 21, 48];787.8877;[3, 12, 28, 36, 38];708.4036;[12, 17, 19, 21, 48];
877.0881;[2, 16, 22, 24, 25];877.0881;[2, 16, 22, 24, 25];877.0881;[2, 16, 22, 24, 25];872.666;[1, 2, 12, 16, 24];
758.2295;[16, 22, 26, 33, 47];758.2295;[16, 22, 26, 33, 47];758.2295;[16, 22, 26, 33, 47];779.49;[1, 16, 22, 35, 44];
789.5163;[20, 26, 27, 28, 39];789.5163;[20, 26, 27, 28, 39];768.0499;[15, 20, 26, 41, 48];793.4294;[3, 13, 15, 25, 48];
671.1279;[3, 8, 9, 29, 50];671.1279;[3, 8, 9, 29, 50];680.1686;[3, 9, 26, 29, 43];671.1279;[3, 8, 9, 29, 50];
663.1406;[13, 22, 29, 36, 40];663.1406;[13, 22, 29, 36, 40];663.1406;[13, 22, 29, 36, 40];663.1406;[13, 22, 29, 36, 40];
810.3957;[19, 22, 25, 45, 46];810.3957;[19, 22, 25, 45, 46];836.1206;[24, 26, 30, 41, 45];833.734;[7, 30, 41, 43, 45];
834.8878;[4, 13, 15, 17, 47];834.8878;[4, 13, 15, 17, 47];941.7328;[4, 6, 20, 24, 40];834.8878;[4, 13, 15, 17, 47];
854.0817;[2, 4, 24, 30, 37];854.0817;[2, 4, 24, 30, 37];874.2569;[4, 10, 23, 37, 44];874.2569;[4, 10, 23, 37, 44];
722.024;[7, 22, 23, 31, 46];722.024;[7, 22, 23, 31, 46];734.1348;[7, 11, 22, 26, 30];722.024;[7, 22, 23, 31, 46];
